label	description
10.1.1	"Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population"
10.2.1	"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
10.3.1	Proportion of population reporting having personally felt discriminated against or harassed within the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
10.4.1	Labour share of GDP
10.4.2	Redistributive impact of fiscal policy
10.5.1	Financial Soundness Indicators
10.6.1	Proportion of members and voting rights of developing countries in international organizations
10.7.1	Recruitment cost borne by employee as a proportion of montlhy income earned in country of destination
10.7.2	"Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people"
10.7.3	Number of people who died or disappeared in the process of migration towards an international destination
10.7.4	"Proportion of the population who are refugees, by country of origin"
10.a.1	Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff
10.b.1	"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
10.c.1	Remittance costs as a proportion of the amount remitted
