label	description
16.1.1	"Number of victims of intentional homicide per 100,000 population, by sex and age"
16.1.2	"Conflict-related deaths per 100,000 population, by sex, age and cause"
16.1.3	"Proportion of population subjected to (a) physical violence, (b) psychological violence and/or (c) sexual violence in the previous 12 months"
16.1.4	Proportion of population that feel safe walking alone around the area they live after dark
16.2.1	Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month
16.2.2	"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation"
16.2.3	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18
16.3.1	"Proportion of victims of (a) physical, (b) psychological and/or (c) sexual violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms"
16.3.2	Unsentenced detainees as a proportion of overall prison population
16.3.3	"Proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism"
16.4.1	Total value of inward and outward illicit financial flows (in current United States dollars)
16.4.2	"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments"
16.5.1	"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months"
16.5.2	"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months"
16.6.1	"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)"
16.6.2	Proportion of population satisfied with their last experience of public services
16.7.1	"Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
16.7.2	"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
16.8.1	Proportion of members and voting rights of developing countries in international organizations
16.9.1	"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age"
16.10.1	"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
16.10.2	"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information"
16.a.1	Existence of independent national human rights institutions in compliance with the Paris Principles
16.b.1	Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
