label	description
5.1.1	"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non_discrimination on the basis of sex"
5.2.1	"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age"
5.2.2	"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence"
5.3.1	Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18
5.3.2	"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age"
5.4.1	"Proportion of time spent on unpaid domestic and care work, by sex, age and location"
5.5.1	"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be Proportion of seats held by women in (a) national parliaments and (b) local governments"
5.5.2	"Proportion of women in managerial positions"
5.6.1	"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care"
5.6.2	"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education"
5.a.1	"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
5.a.2	Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
5.b.1	"Proportion of individuals who own a mobile telephone, by sex"
5.c.1	Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment
